Jurisdiction,Office,Race Name,Number of Seats,Candidate Name,Votes Received,Percent Received,Total Votes,Elected,Election Date
City of Columbus,Alderperson District 2,Alderperson District 2,1,Rodney Melotte,498,98.61,505,1,04/05/16
City of Columbus,Alderperson District 3,Alderperson District 3,1,Andrew Traxler,327,66.87,489,1,04/05/16
City of Columbus,Alderperson District 3,Alderperson District 3,1,J.D. Milburn,157,32.11,489,0,04/05/16
City of Lodi,Alderperson District 1,Alderperson District 1,1,Peter Tonn,239,98.76,242,1,04/05/16
City of Lodi,Alderperson District 2,Alderperson District 2,1,Rich Stevenson,263,97.41,270,1,04/05/16
City of Lodi,Alderperson District 3,Alderperson District 3,1,Bill Welch,271,98.91,274,1,04/05/16
City of Portage,Alderperson District 2,Alderperson District 2,1,Mark Hahn,261,74.15,350,1,04/05/16
City of Portage,Alderperson District 2,Alderperson District 2,1,Richard D. Lynn,89,25.28,350,0,04/05/16
City of Portage,Alderperson District 5,Alderperson District 5,1,Jeff Monfort,173,88.72,195,1,04/05/16
City of Portage,Alderperson District 6,Alderperson District 6,1,William A. Kutzke,226,98.26,230,1,04/05/16
Columbus School District,School Board Member,School Board Member Columbus School District,3,Mike O'Brien,1497,36.49,4064,1,04/05/16
Columbus School District,School Board Member,School Board Member Columbus School District,3,Mary Arnold,1351,32.93,4064,1,04/05/16
Columbus School District,School Board Member,School Board Member Columbus School District,3,Julia Hoffman,1216,29.64,4064,1,04/05/16
Randolph School District,School Board Member,School Board Member Randolph School District,3,Wayne Vanderploeg,299,38.63,774,1,04/05/16
Randolph School District,School Board Member,School Board Member Randolph School District,3,Craig A. Freitag,241,31.14,774,1,04/05/16
Randolph School District,School Board Member,School Board Member Randolph School District,3,Laurie Boomsma,226,29.2,774,1,04/05/16
Sun Prairie Area School District,School Board Member,School Board Member Sun Prairie Area School District,3,Caren Diedrich,5,45.45,11,1,04/05/16
Sun Prairie Area School District,School Board Member,School Board Member Sun Prairie Area School District,3,Steven Schroeder,4,36.36,11,1,04/05/16
Sun Prairie Area School District,School Board Member,School Board Member Sun Prairie Area School District,3,David Hoekstra,2,18.18,11,1,04/05/16
Baraboo School District,School Board Member,School Board Member School District of Baraboo,2,Kevin H. Vodak,5,50.0,10,1,04/05/16
Baraboo School District,School Board Member,School Board Member School District of Baraboo,2,Mike Kohlman,5,50.0,10,1,04/05/16
Fall River School District,School Board Member,School Board Member Fall River School District,2,Ember Schultz-Roughen,452,35.15,1286,1,04/05/16
Fall River School District,School Board Member,School Board Member Fall River School District,2,Ashley Morton,420,32.66,1286,1,04/05/16
